Matrix_id	Gene_id	Species	Method	Datasource	Datasource_ID
MP00665	Traes_5AL_9BC38814C	Triticum aestivum	SELEX	PMID:26531826	MA0128.1
MP00666	GSVIVG01007522001	Vitis vinifera	PBM	PMID:25215497	M1283_1.02
MP00667	GSVIVG01027588001	Vitis vinifera	PBM	PMID:25215497	M1656_1.02
MP00668	GRMZM2G016020, GRMZM2G129872	Zea mays	SELEX	PMID:16381825	M00226
MP00669	GRMZM2G038252	Zea mays	PBM	PMID:25215497	M1209_1.02
MP00670	GRMZM2G087741	Zea mays	PBM	PMID:25215497	M1210_1.02
MP00671	GRMZM2G135447	Zea mays	PBM	PMID:25215497	M1211_1.02
MP00672	GRMZM2G009406	Zea mays	SELEX	PMID:26531826	MA0020.1
MP00673	GRMZM2G011357	Zea mays	SELEX	PMID:26531826	MA0120.1
MP00674	GRMZM2G093595	Zea mays	SELEX	PMID:26531826	MA0123.1
MP00675	GRMZM2G017087	Zea mays	ChIP-seq	SRA:SRX158000	SRX158000
